Temperature,Year,Month,Day
0.3712862960068136,2022,1,1
0.025468946964397714,2022,1,2
-1.2699557470029994,2022,1,3
-0.537905211481856,2022,1,4
0.12396211794341397,2022,1,5
0.4314670673715857,2022,1,6
-0.8654787007488144,2022,1,7
0.9265989841826855,2022,1,8
0.4678624023641421,2022,1,9
-0.3343294856263313,2022,1,10
0.4730319372343872,2022,1,11
1.316064488390746,2022,1,12
-1.7344574323249002,2022,1,13
-0.06352125597503781,2022,1,14
0.4306618541895205,2022,1,15
1.1920924221167533,2022,1,16
0.40707805408646597,2022,1,17
0.429799523045264,2022,1,18
0.8660115227364853,2022,1,19
-1.519134430049975,2022,1,20
-0.709131815721111,2022,1,21
-0.1681536583316516,2022,1,22
-0.30599739785397706,2022,1,23
0.6116674542542134,2022,1,24
-1.213425590695784,2022,1,25
0.45406425529561556,2022,1,26
1.509716258386003,2022,1,27
-0.7567428135033093,2022,1,28
0.22728104486288117,2022,1,29
-1.0023464447245665,2022,1,30
0.7690407543048051,2022,1,31
-0.12696322153444936,2022,2,1
-1.2571668117873318,2022,2,2
-1.2004329184019358,2022,2,3
-0.7680375113701812,2022,2,4
-0.5168237196795886,2022,2,5
-0.0009962588378776781,2022,2,6
1.5107762705708108,2022,2,7
-0.711037643532183,2022,2,8
-1.2457430263029956,2022,2,9
0.567673264543704,2022,2,10
0.36906242088510366,2022,2,11
-0.8345992359969684,2022,2,12
-0.9808363954915983,2022,2,13
-2.286724104174131,2022,2,14
-1.068316792073795,2022,2,15
-0.44874995765268116,2022,2,16
0.7348073229544064,2022,2,17
0.18129974010594652,2022,2,18
-0.6893320618176848,2022,2,19
-0.24603175461090646,2022,2,20
-1.2894963832258548,2022,2,21
-0.4845035093389319,2022,2,22
-0.9668911725034727,2022,2,23
-1.073983581640471,2022,2,24
0.09795798957139427,2022,2,25
0.39682120435382207,2022,2,26
0.8252141926127637,2022,2,27
0.06366257526342733,2022,2,28
-0.6965049875810155,2022,3,1
1.434820777414842,2022,3,2
-1.0827258063002452,2022,3,3
1.231990951321489,2022,3,4
-0.4091170596705195,2022,3,5
2.2414403218811314,2022,3,6
-0.5179457420083978,2022,3,7
-1.2574992380535217,2022,3,8
-1.8049941014313484,2022,3,9
-1.2005103866027744,2022,3,10
0.2881595578926051,2022,3,11
-0.7723205512456245,2022,3,12
0.5784473130784965,2022,3,13
1.514707893761315,2022,3,14
-0.7478186185518964,2022,3,15
1.349573350862044,2022,3,16
-0.15534971130056632,2022,3,17
-0.42580819349087656,2022,3,18
0.08708216981675315,2022,3,19
1.5107320024766702,2022,3,20
-0.08827725282868969,2022,3,21
-2.316518795097613,2022,3,22
0.6185841054130025,2022,3,23
0.4794083183969474,2022,3,24
1.8269015165028113,2022,3,25
0.5363292939475571,2022,3,26
0.3894377425101504,2022,3,27
-0.729237229223167,2022,3,28
-0.7260766201054776,2022,3,29
-0.8034789830135094,2022,3,30
0.4425563071545133,2022,3,31
-0.34314154336651764,2022,4,1
-0.4230136057309435,2022,4,2
1.7631083693035734,2022,4,3
0.14391904819164564,2022,4,4
0.28583483823260575,2022,4,5
1.7069022129104539,2022,4,6
0.9578238877826681,2022,4,7
0.15829202181962196,2022,4,8
0.8435928666025444,2022,4,9
-1.2726533017427513,2022,4,10
-1.228950913507536,2022,4,11
1.955016233184126,2022,4,12
-0.7414866678038428,2022,4,13
1.7240656373412218,2022,4,14
0.5962568954104532,2022,4,15
0.41841843302217946,2022,4,16
-1.1837457009615486,2022,4,17
-0.34932703957410255,2022,4,18
-3.039181484742017,2022,4,19
0.9643351942797742,2022,4,20
1.4684755460723116,2022,4,21
0.1280225811372084,2022,4,22
0.269715054717535,2022,4,23
1.9495844541464684,2022,4,24
-0.011534952625191412,2022,4,25
0.23928643199001662,2022,4,26
-1.9286876258724661,2022,4,27
-0.14154762215175623,2022,4,28
1.9258199287975275,2022,4,29
-0.19249369457076296,2022,4,30
0.12197911268538873,2022,5,1
0.7158483284556008,2022,5,2
0.8413127542729294,2022,5,3
-0.532689468861607,2022,5,4
-0.997447256617791,2022,5,5
-0.9978826811861935,2022,5,6
0.6472542772487233,2022,5,7
-0.6450092893074223,2022,5,8
-0.39044937716170525,2022,5,9
-1.2924214661107003,2022,5,10
-1.0450322638345553,2022,5,11
-0.5774329291541718,2022,5,12
-2.3912007947689773,2022,5,13
0.31795195921947694,2022,5,14
-0.677991982814394,2022,5,15
-0.7444083334420034,2022,5,16
-0.5124803435608557,2022,5,17
1.3801596350350478,2022,5,18
0.33621092803759983,2022,5,19
0.19015076720595367,2022,5,20
-1.1208713685599685,2022,5,21
0.3635386815001486,2022,5,22
0.35492456308075715,2022,5,23
0.7064044183415207,2022,5,24
0.27836094005928547,2022,5,25
0.24480546753809923,2022,5,26
-0.4290482380195858,2022,5,27
-0.2202763766978706,2022,5,28
0.3523162644770472,2022,5,29
-0.7014729354531205,2022,5,30
0.3347249270534408,2022,5,31
2.096586316199894,2022,6,1
1.3114310800819207,2022,6,2
0.15407056315272608,2022,6,3
1.6864931842887083,2022,6,4
-0.8594695814907631,2022,6,5
-0.2800661408346809,2022,6,6
1.1225204035143426,2022,6,7
0.42451914599279716,2022,6,8
0.7237238872755876,2022,6,9
-0.04327181047690805,2022,6,10
0.29764711789207937,2022,6,11
