Date,Temperature
2022-01-01,26.858814342822665
2022-01-02,24.92622001349171
2022-01-03,17.68676130915236
2022-01-04,21.777813182776907
2022-01-05,25.47664741176699
2022-01-06,27.19513355236023
2022-01-07,19.94717435118136
2022-01-08,29.962169785069683
2022-01-09,27.398528258309717
2022-01-10,22.91549263832546
2022-01-11,27.427418115348935
2022-01-12,32.138691081605906
2022-01-13,15.090901600252472
2022-01-14,24.42889978926644
2022-01-15,27.19063363229008
2022-01-16,31.445875313571165
2022-01-17,27.058835969537054
2022-01-18,27.185814509466976
2022-01-19,29.623577794980942
2022-01-20,16.294230508774053
2022-01-21,20.820916239058818
2022-01-22,23.844163401636955
2022-01-23,23.073826025353544
2022-01-24,28.202180326609533
2022-01-25,18.002679118996298
2022-01-26,27.32141754985698
2022-01-27,33.22091067988243
2022-01-28,20.554842993796676
2022-01-29,26.054043464423188
2022-01-30,19.182291309285695
2022-01-31,29.08165831725415
2022-02-01,24.074355451854696
2022-02-02,17.758232054458862
2022-02-03,18.075288445473053
2022-02-04,20.491722768309252
2022-02-05,21.895626738469574
2022-02-06,24.778319664363245
2022-02-07,33.22683453981327
2022-02-08,20.810265552994174
2022-02-09,17.822073683884497
2022-02-10,27.9563195512798
2022-02-11,26.846386254812458
2022-02-12,20.119743710808464
2022-02-13,19.302499850836234
2022-02-14,12.004568768051529
2022-02-15,18.81361715356693
2022-02-16,22.276055791071236
2022-02-17,28.89034537276331
2022-02-18,25.797077730706945
2022-02-19,20.931566824467176
2022-02-20,23.408942995069335
2022-02-21,17.57755879846173
2022-02-22,22.076247680131686
2022-02-23,19.380432490545417
2022-02-24,18.781948397177477
2022-02-25,25.331323785956666
2022-02-26,27.00151574056359
2022-02-27,29.395582614671824
2022-02-28,25.13966445076957
2022-03-01,20.89148105175129
2022-03-02,32.802358567855144
2022-03-03,18.73309262446972
2022-03-04,31.668847560346034
2022-03-05,22.49754356231051
2022-03-06,37.31013807018389
2022-03-07,21.889356335911565
2022-03-08,17.756374295966587
2022-03-09,14.696708633640215
2022-03-10,18.074855515760134
2022-03-11,26.394261991299103
2022-03-12,20.46778707335785
2022-03-13,28.016530136896552
2022-03-14,33.248806348642624
2022-03-15,20.604715704361094
2022-03-16,32.325954785331824
2022-03-17,23.91571804021668
2022-03-18,22.40426544696827
2022-03-19,25.2705444536217
2022-03-20,33.226587148327724
2022-03-21,24.290551325059006
2022-03-22,11.83806164837597
2022-03-23,28.24083391308936
2022-03-24,27.463052412212694
2022-03-25,34.99349505970408
2022-03-26,27.781154308701414
2022-03-27,26.960253390570383
2022-03-28,20.70855748022118
2022-03-29,20.72622049011641
2022-03-30,20.293658711341884
2022-03-31,27.257105578866188
2022-04-01,22.86624660464445
2022-04-02,22.419882952777677
2022-04-03,34.636988149715876
2022-04-04,25.58817637448498
2022-04-05,26.381270335314696
2022-04-06,34.32288100783993
2022-04-07,30.136669623780293
2022-04-08,25.6684994913152
2022-04-09,29.498291519333854
2022-04-10,17.671686070713513
2022-04-11,17.91591611849876
2022-04-12,35.709461958553284
2022-04-13,20.640101702614725
2022-04-14,34.41879851116546
2022-04-15,28.116058682580565
2022-04-16,27.122211482894933
2022-04-17,18.16854467419294
2022-04-18,22.831679065080635
2022-04-19,7.799473590567077
2022-04-20,30.173057948564136
2022-04-21,32.99043766580229
2022-04-22,25.49933924074698
2022-04-23,26.29118520136311
2022-04-24,35.6791065544782
2022-04-25,24.71942435471983
2022-04-26,26.121135364663505
2022-04-27,14.005449491865512
2022-04-28,23.992850778917536
2022-04-29,35.54629891178538
2022-04-30,23.708139526196142
2022-05-01,25.46556542086253
2022-05-02,28.784393356880745
2022-05-03,29.48554915065092
2022-05-04,21.806961271035217
2022-05-05,19.20967033806981
2022-05-06,19.20723697533056
2022-05-07,28.40105667711229
2022-05-08,21.17926387914286
2022-05-09,22.60186758612882
2022-05-10,17.561212022882863
2022-05-11,18.943742340637233
2022-05-12,21.556913209896877
2022-05-13,11.420702572934466
2022-05-14,26.560756315603236
2022-05-15,20.99494066165785
